央视频道,#genre#
[BD]cctv11@@16[ipv6],https://epg.pw/stream/8db619755d9ab28f5328d63dfa4bdc1a68cd5bc58790f65f54e2049a1a0ad2ff.m3u8
[BD]cctv11@@17[ipv6],https://epg.pw/stream/69818efa5eef781f464912e281e6b1ae2051805ccb9cb61e3f5be843d014bc22.m3u8
[BD]cctv11@@23,https://epg.pw/stream/675d68ed0047805ce30a2f8406f1e254d34befcf413d9239fa3d1b177370f40c.m3u8
[BD]cctv11@@25,https://epg.pw/stream/469d1a55e8234c672e7ed47a336aa1ccb5f5aec618a0f24641ba38ec746a3161.m3u8
[BD]cctv11@@34,https://epg.pw/stream/ad3840513d6b680860a6fd128031203d576ae412ffba3b5ed4d9ac9137301070.m3u8
[BD]cctv11@@35,https://epg.pw/stream/b080c852cb9670eadf04695aab611f33f4519bde026b7ac507c3001ca818ff01.m3u8
[BD]cctv11@@2,https://epg.pw/stream/a296e075276025c13fccaa815a2a2968db83b532e3dcdd87dea6d56e3b63152a.m3u8
[BD]cctv12,https://epg.pw/stream/06025da15ba23cad6264166f6216c1cfb7f9bd2e1e759e6eab92ed6fb62f7daa.m3u8
[BD]cctv12@@1[ipv6],https://epg.pw/stream/aedb71e61961cd2a5a5b9a8a83b8ae489c9408e6b420593aecb92cc36de628fe.m3u8
[BD]cctv12@@3,https://epg.pw/stream/61ec8e0d4e9bc58f9bcf51be1930765b2a6a982ecd21f383dc33cb85d1422a72.m3u8
[VGA]cctv12@@4,https://epg.pw/stream/606785673559b89523ae9a7b643efa266ff08386ce678c2a204216cc78c3efdd.m3u8
[BD]cctv12@@7,https://epg.pw/stream/713f8c42d89efd6b0b31ab22e8070a22a6eb54790b31f6e8ebe511775c1309f5.m3u8
[BD]cctv12@@9,https://epg.pw/stream/51337667e5647403507b5d7923c277b8154168e635f0401f2a4221c4d2ef9861.m3u8
[BD]cctv12@@10[ipv6],https://epg.pw/stream/73e76f84f85f78d63807bfb8e51dff03850f7d1cafd1c6521d6eb45272bc4ead.m3u8
[BD]cctv12@@12,https://epg.pw/stream/02719c38e1aafef4c31d2bea7d5d01504840e97a5bf902fb56117805872dba0f.m3u8
[BD]cctv12@@13[ipv6],https://epg.pw/stream/fc87709463835c6bdecf9bd22b516aa7bb7e9ba4d7003e35b94ae5a88334ce2c.m3u8
[BD]cctv12@@14,https://epg.pw/stream/b0468d79ea902e3b48781da5ff9767e3fa65491b9944500bab58e8fd9bced0f3.m3u8
[SD]cctv12@@16[ipv6],https://epg.pw/stream/fde0d58de8e2df86556dbfc4cee0ef4893524226d56783ef43f7d1895d671218.m3u8
[BD]cctv12@@19,https://epg.pw/stream/a6870bf97aab6a8d97a8222a583022752dba8fc5015b0cefbe690037020b2350.m3u8
[BD]cctv12@@21,https://epg.pw/stream/9d14374c2b9fc15b3f1c2fe62daa4bfb7f14fae68a4935d1f5be5fc1af577241.m3u8
[BD]cctv12@@22,https://epg.pw/stream/f20695b42ce58850404fbe1da8f77ef3cce97a3b7c78b25a99235594cb9ab553.m3u8
[BD]cctv12@@23[ipv6],https://epg.pw/stream/f54beab3aefd87eb54c62a366f0a0390657c04b691b71a1a686108e115adb8f1.m3u8
[BD]cctv12@@24[ipv6],https://epg.pw/stream/e1632a4078c4b9d85bd860443ea1d66b7ad80e861c4d251048241b9c405cc873.m3u8
[BD]cctv12@@25,https://epg.pw/stream/0e074349085698d3ae58391704e32e63feddc136affffdac05dc6bd4e83bf891.m3u8
[BD]cctv12@@32,https://epg.pw/stream/ca7edcc46c7461bf707c1a4ea7a8572a98ee566581ec754a5f952db080ebdbea.m3u8
[BD]cctv12@@8,https://epg.pw/stream/861517ee63d538e82cf7f2366aa455f79bcfe9332163c526347e2858324d6e6e.m3u8
[BD]cctv13@@1[ipv6],https://epg.pw/stream/40a9e2982bc945aca7ceebc0664c69c3da53d8b7169e7edee6383656ab72004b.m3u8
[BD]cctv-13,https://epg.pw/stream/68497e678084075a10f1b9991f28592e12789084579cbde9ccb8e6d221059195.m3u8
[BD]cctv13@@9,https://epg.pw/stream/b835012f74c2c646af1393a8ea0976399a470bfd04b46107c699c79975d8176c.m3u8
[HD]cctv13@@10,https://epg.pw/stream/46bbc0749a36629831e13e3584e254bdc359e2bc0e42f4b7e7706529599ca7f5.m3u8
[BD]cctv13@@11,https://epg.pw/stream/f775810be10706600c58373ca47c369fa14a21c1fb1fb953645eaa89b7811b7f.m3u8
[BD]cctv13@@13[ipv6],https://epg.pw/stream/81625edf2cc9baae0d7f7cf1e070e6ba05b2acd4056442384577655089e0843c.m3u8
[BD]cctv13@@14,https://epg.pw/stream/e23acf59ab1e9c2068d154d33874345d115219d523cdb8d9b9a819aeecf8016d.m3u8
[BD]cctv13@@15[ipv6],https://epg.pw/stream/8a523a53982bb6b640ce395311f5fe3cd08586e02f5d7863f217f200fdcfec96.m3u8
[BD]cctv13@@18,https://epg.pw/stream/9c5ea1afac03f4018fa46799d1f2788950a59bfae9a3e5a6ce8ff257eea05c41.m3u8
[BD]cctv13@@19,https://epg.pw/stream/43fcdf52433f1ccd3279dad5a9471448848cf711e5d0931ba0cef40571a4fe9c.m3u8
[BD]cctv13@@20,https://epg.pw/stream/a3837f5e1270c9c1202aa16e08743afbe7bfc8cb2db62aa83a2dfa6dabdbd37c.m3u8
[BD]cctv13@@21,https://epg.pw/stream/45f42d1a050cf53e2d50d82e9c5091876cc2c2a46d16ada78a48b171e214bba7.m3u8
[BD]cctv13@@29,https://epg.pw/stream/c9d9840353e7fbdce9b2f5678bd16f23f5c49f1b8c17c14bf99aeb8d058b7876.m3u8
[BD]cctv13@@30,https://epg.pw/stream/c56399bf906d33e8ee29c0ec2b54a2ea5b28c1f4ed6a8f9e574a29dc3d3a5698.m3u8
[SD]cctv13@@32,https://epg.pw/stream/a1968efdac6a00d9b145649a1df4f2f4215882aa467305813824d1953a5b5b33.m3u8
[BD]cctv13@@39,https://epg.pw/stream/e4c0cae425ed484c45de4ef117b320dc21570068a4a0d5491c7ef463085913e4.m3u8
[BD]cctv13@@44,https://epg.pw/stream/2ea6e420e70d1542debdbf9ffe845619efcf35461b57f9c2ee2ba6ebc7637e77.m3u8
[VGA]cctv13@@50,https://epg.pw/stream/764471718e32a86a3ba47eef801eee8bbb884afa0a3e136d48e8f4e233d21db6.m3u8
[BD]cctv13,https://epg.pw/stream/d8d86dede808358d248bad6c290eba43f63be54e467ea3865a0140b3fb9e5f25.m3u8
[BD]cctv13@@2[ipv6],https://epg.pw/stream/855a04d80b33a0e0cfab9a9096e263d7fdae3c9a107dd7c13c7790e57c983c91.m3u8
[BD]cctv13@@3[ipv6],https://epg.pw/stream/069b3db18ed7e22abd36bc19d185900fc7b42b88e7ffb7c04bbec2300ed1aada.m3u8
[BD]cctv13@@7,https://epg.pw/stream/8d8f5970c3388f0b49026ce8ed37a9ab37e33a9d29b7dd4152a05c1332ccc78b.m3u8
[BD]cctv14[ipv6],https://epg.pw/stream/81b7797c31f3ca9a91e207b707f88027d93cf50d35999fc2e33c24e9bf30d709.m3u8
[BD]cctv14@@2,https://epg.pw/stream/810e8e594bbd7f110f164ca1f3297900a5be91468d81db0d55494d7a6f79eb19.m3u8
[BD]cctv-14[ipv6],https://epg.pw/stream/1d3b426c9fa06939dd399e831e8a2de95ab3698db955bd1ac9c5caa0ab8b26e5.m3u8
[BD]cctv14@@6,https://epg.pw/stream/aa2dd2bceb8f1a2b34aacb4349b88e09153349fb5699ae85c7ed94daaaa357c4.m3u8
[BD]cctv14@@7,https://epg.pw/stream/6dbe9409e344cd6ab113ba8cb1d0f675f7c9e00b968f8e80a5b2f344c22bb030.m3u8
[BD]cctv14@@8,https://epg.pw/stream/83461ebfd58cb4e8f2b1f8582cec3c09dfaf945443cc97f13750342a92d55b41.m3u8
[BD]cctv14@@9,https://epg.pw/stream/0615172c9e083d70772bf6d78ffcd4e344e9b95aaa026d603259348488832520.m3u8
[BD]cctv14@@10[ipv6],https://epg.pw/stream/16ca9a637ef506efd7d36e616488b0137002926d26f62f31c660b1657f09d858.m3u8
[BD]cctv14@@11,https://epg.pw/stream/318722914b0180a05ca32723cab95d2e8986a6a28fb451445a2c009279f230be.m3u8
[BD]cctv14@@12[ipv6],https://epg.pw/stream/a283fe1b3fbeab18411bef24777c54aa96e916a807498fb2ff2904e1cbf576ba.m3u8
[BD]cctv14@@13[ipv6],https://epg.pw/stream/f129c576fe688cfd2059bbf1617c7d623a3aecbed3b3f14d2327c77727233ead.m3u8
[BD]cctv14@@14,https://epg.pw/stream/023d2376601fc29109defdd880d817a724f338f70e8ee3f893a2a686689f6ec5.m3u8
[VGA]cctv14@@16,https://epg.pw/stream/91b7e40a0dfb63bdfb7be9e36b570ff89fa27c266de2f7dffdd8d566ee40689b.m3u8
[BD]cctv14@@17[ipv6],https://epg.pw/stream/373c2e8b5daf79276f52d4a4771d2e6e4d6f423254d5b8d3898559d49eaeb455.m3u8
[BD]cctv14@@18,https://epg.pw/stream/647401e8bba920003b7ce91c0b3a3282c85c57a617bc7eb9eea2d37e32525f85.m3u8
[BD]cctv14@@19,https://epg.pw/stream/5c1d7214257d5c6ef8701a80e143c57696c3d564f415488d81d9d15185f1a2e6.m3u8
[BD]cctv14@@21,https://epg.pw/stream/2764db8a914db9ac7b26062acb31bfc24b4fce2b5eb37291c2d365786e0b7440.m3u8
[SD]cctv15@@25,https://epg.pw/stream/7364d1b0ff696920b67cb55fd6c4312998c9aef8a21e7cee80449eaf64ce821a.m3u8
[BD]cctv15@@37,https://epg.pw/stream/1c0653eb4d2d556be72d32c2a6209e13210c35eec838a79bee156d4e898891f1.m3u8
[SD]cctv15,https://epg.pw/stream/5cdf21d4ac6f90c53093fd4ba081908c988a2c33e0d6088948cb36f35295ba6b.m3u8
[BD]cctv15@@1[ipv6],https://epg.pw/stream/d239fb84263e881c367c092224d5a5bbc9bc8f6096875c7506df050d8106d32c.m3u8
